dish	counts
Jimmy Chung's	3
Szechuan Cuisine	3
Joyful Chinese Dining	3
Satay Thai Bistro & Bar	3
Joe's Kitchen	3
Red Mansion	3
Pan Asia Sushi Chinese Fusion	3
QQ Express	3
Wendy's Noodle Cafe	3
Desert Jade	3
Golden Flower Chinese Cuisine	3
Yunnan Garden	3
The Original Las Vegas Buffet	3
Great Wall Buffet Two Corporation	3
King Buffet	3
Orient House	2.85
Beijing Noodle Cafe	2.8
Cameron Chinese Seafood Restaurant	2.775
KJ Kitchen	2.76
Buffet @ Asia	2.7
Little Buddha Restaurant & Sushi Bar	2.7
Pho Kim Long	2.7
World Buffet	2.64
Stack Dim Sum Bar	2.630769231
COFCO Chinese Culture Center	2.6
Hakkasan Restaurant	2.558823529
Jasmine	2.431578947
China Magic Noodle House	2.4
China Star	2.4
Cafe Noodle & Chinese Barbeque	2.4
Forbes KTV Restaurant & Bar	2.4
Tai's Asian Bistro	2.4
Tasty House Chinese Restaurant	2.4
Flo's	2.4
George & Son's Asian Cuisine	2.4
Pei Wei Asian Diner	2.4
Kung Fu Chef	2.4
Ginger China Bistro	2.4
Hong Kong Wok	2.4
Meadowood Cafe	2.4
The Clever Koi	2.4
Asian Cafe Express	2.4
Big Wong Restaurant	2.4
Yi Mei Champion Taiwan Deli	2.4
Noodle Pot	2.4
Henry's Taiwan Kitchen	2.4
Hot Wok Chinese Restaurant	2.4
King Wah Express	2.4
Happy Valley's Congee & Bar	2.4
Chino Bandido	2.4
Noodle Palace	2.4
Great Bao	2.4
Red Wok Buffet	2.4
Buffet Asia	2.4
HK Star	2.4
Bund Shanghai	2.4
Buffet at Asia	2.4
Crystal Palace Restaurant	2.4
Cafe Ga Hyang	2.4
Hong Kong Gourmet Buffet	2.4
BBQ King	2.4
Umami Ramen & Dumpling Bar	2.4
China Chan Restaurant	2.314285714
Great Wall Cuisine	2.307272727
DumplingHaus	2.3
Imperial Palace	2.3
Las Vegas Chinatown Plaza	2.3
Viet Bistro	2.28
Phoenix Palace	2.275862069
1900 Asian Cuisine	2.266666667
Mekong Palace	2.258823529
Jade At the Palazzo	2.25
Anna's Garden	2.25
China King	2.241818182
Saigon Saigon	2.2
Three Villages Restaurant	2.2
Fin	2.2
Noodles	2.195744681
Ping Pang Pong	2.159447005
Chang's Hong Kong Cuisine	2.150204082
Orchids Garden Chinese Restaurant	2.132876712
Crazy Buffet	2.1
Noodle Asia	2.082352941
C-Fu Gourmet Restaurant	2.055882353
Dim Sum Cafe	2.033333333
Jumbo Super Buffet	2
Hot Wheels	2
Kan's Kitchen	2
Red 8	1.988888889
P F Chang's China Bistro	1.96
Golden Buddha	1.956521739
East Ocean Dim Sum & Seafood Restaurant	1.95412844
China Mama Restaurant	1.95
China Poblano	1.93902439
Cathay House Restaurant	1.929496403
Jade Palace	1.92
Chin Chin Chinese Restaurant	1.875
Szechwan Palace	1.8
Dragon Way	1.8
Rainbow Arch Restaurant	1.8
Foods 2 Go	1.8
1 Eastern Super Buffet	1.8
Hao Bao	1.8
Fate 905	1.8
Panda Garden	1.8
Dragon Noodle Co.	1.8
China China Restaurant	1.8
Capital Seafood Restaurant	1.8
Chop Chop Wok	1.8
China Town Buffet	1.8
Hope Kee	1.8
Great Wall Buffet	1.8
Hibachi Grill & Supreme Buffet	1.8
J & K Gourmet	1.8
Noodle Shop	1.8
Pearl	1.8
New China Buffet	1.8
Asian Seafood Buffet	1.8
China Chili	1.8
Rice & Company	1.8
Blossom	1.8
Beijing Noodle No. 9	1.725
Harbor Palace Seafood Restaurant	1.56
Fortunes	1.56
Zine Noodles Dim Sum	1.517647059
Liu's Kitchen	1.5
Shanghai Lilly	1.5
Chop Chop	1.5
Harbor Palace	1.465909091
Cathay House	1.292307692
Lin Buffet	1.2
Spicy City	1.2
Fusia	1.2
Joyful House Chinese Cuisine	1.2
Panda Express	1.2
China Wok	1.2
Volcano Buffet	1.2
Chou's Kitchen	1.2
King Tin Restaurant	1.05
China Ginger	0.6
Emperor's Garden	0.6
Golden Gate Chinese Restaurant	0.6
Red Dragon Chinese Food	0.6
