Topic: 0
wines : 0.00887703278599
filet : 0.00521029339957
cons : 0.00362413661002
sides : 0.00320196001493
word : 0.00306523341277
post : 0.00301520801154
baby : 0.00296228042916
wrapped : 0.00287323948371
turned : 0.00281873516431
pretentious : 0.0027538074811
tv : 0.00271307070218
spent : 0.00265164789121
tart : 0.00243300392591
pickle : 0.00236358986136
planning : 0.00208768601105
Topic: 1
board : 0.00820261413617
panini : 0.00636229873924
smoked : 0.00595885449539
olives : 0.00538215896232
muffin : 0.00442068657983
gelato : 0.00431804298154
lgo : 0.00402587947664
walls : 0.00386799322128
taco : 0.0035755919892
presented : 0.0026864132132
mile : 0.00267942832113
girl : 0.00266510240229
dollar : 0.00254127602114
pain : 0.00248484620046
sugar : 0.00236507977768
Topic: 2
bruschetta : 0.00797900722843
wine : 0.00631414076095
good : 0.00601511836628
place : 0.00560826553668
great : 0.00554072670778
food : 0.00542858007166
postino : 0.00462509427253
just : 0.00435836658723
love : 0.00413331842002
like : 0.0041240744526
really : 0.0039719582577
try : 0.00364155238147
time : 0.00352778506377
ve : 0.00345264989424
ordered : 0.00334433956071
Topic: 3
cheese : 0.00655732498551
sliders : 0.00635224329794
good : 0.00546138921911
fresh : 0.00445556580809
brie : 0.00397605460279
prosciutto : 0.00396611330067
salad : 0.00380769141111
sauce : 0.00369674392184
chicken : 0.00357734979737
bread : 0.00342755865192
tomato : 0.00334672470492
like : 0.00331716470948
ordered : 0.0032166573713
hot : 0.00321426257263
wally : 0.00319335391375
Topic: 4
place : 0.011808997111
food : 0.0111473148268
service : 0.0099576906762
great : 0.00956549905269
good : 0.00689454022542
parking : 0.00534722268988
like : 0.00514508688305
restaurant : 0.00495861429194
time : 0.00495651461904
just : 0.00475330779074
atmosphere : 0.00473075621814
friendly : 0.00466152633597
love : 0.00452965789451
wine : 0.00452642482996
don : 0.00380211032366
