Topic: 0
food : 0.00631662502544
place : 0.00589226779653
minutes : 0.00558550883461
bar : 0.00411046666445
drinks : 0.00365603244413
people : 0.00358926709507
table : 0.00353582919113
drink : 0.00349853849285
time : 0.00341900429085
wait : 0.00334716920512
just : 0.00323589087604
service : 0.00320919860451
good : 0.00298532479298
took : 0.00297626615325
15 : 0.00296987702429
Topic: 1
slices : 0.00547823646096
margarita : 0.00487856822768
heart : 0.00385628379443
update : 0.00331788439318
cons : 0.00329109198101
ordered : 0.00313733907499
refilled : 0.00283817432963
bautista : 0.00263571850688
listed : 0.00260727615115
site : 0.00250370304433
warming : 0.00248428605788
enjoying : 0.00242673096788
south : 0.00231308105923
additionally : 0.00222626638857
harbor : 0.00222353560081
Topic: 2
food : 0.0130852233546
chicken : 0.00822426214275
good : 0.00637134204137
place : 0.00538458883034
like : 0.00522712184657
rice : 0.00444640099408
sauce : 0.00443821956379
fried : 0.00403870863818
bland : 0.00393831662219
ordered : 0.00378962356253
chinese : 0.00372346200812
bad : 0.00370056563742
burrito : 0.00362353724671
flavor : 0.00360697842937
pretty : 0.00358592199463
Topic: 3
food : 0.00819463193397
service : 0.0064943446959
order : 0.00590623890633
place : 0.00577952698808
good : 0.00566520380667
just : 0.00565428379223
like : 0.00560609961886
time : 0.00534439560165
ordered : 0.00384591623143
got : 0.0038120805939
didn : 0.00377315723451
cheese : 0.00373145989696
pizza : 0.00367955333683
don : 0.00363998573942
really : 0.00325553920974
Topic: 4
good : 0.00763708248202
salad : 0.00505255405613
carne : 0.00387226576599
entrees : 0.00386337244356
chicken : 0.00381010895929
asada : 0.00374702748359
food : 0.00362997426895
thai : 0.00349482017006
muffin : 0.00321889901916
entree : 0.00286373202877
chipotle : 0.00246669555188
cobb : 0.0024604924563
imagine : 0.00245346113338
yummy : 0.00240952448818
bold : 0.00239838245187
