Topic: 0
olive : 0.0249424409387
pants : 0.0180766428018
toast : 0.011145575458
flatbread : 0.00656618201693
goat : 0.00638875175817
whiskey : 0.00629130704471
george : 0.00583311593335
cheeseburger : 0.00560952836032
omelette : 0.0044946841802
em : 0.00439002638622
pit : 0.00436138665473
dos : 0.00430740143904
kosher : 0.00409694422655
coaster : 0.00401861729166
tiramisu : 0.00392962656756
Topic: 1
great : 0.0194676363064
place : 0.0128794764181
good : 0.0121788544104
service : 0.0119212302168
gyro : 0.010298364747
love : 0.00942005865664
greek : 0.00941327221648
pita : 0.00887436532404
friendly : 0.00877888448583
best : 0.00743601308718
staff : 0.00687193186076
gyros : 0.0066351629969
fries : 0.00657208158486
amazing : 0.00656519886199
awesome : 0.00569684105003
Topic: 2
tacos : 0.0144606921275
meats : 0.00990439942365
chicken : 0.0077442595236
jimmy : 0.00726868394669
good : 0.00644260236405
great : 0.00581396242529
place : 0.0049553744263
rice : 0.00490986473796
thai : 0.00378866514794
lunch : 0.00364822120855
fried : 0.0035743660779
carnivore : 0.00344051335474
love : 0.00337010313491
groupon : 0.00324663582851
best : 0.00323958843898
Topic: 3
texas : 0.0363493741279
nachos : 0.0131149604054
meats : 0.0123543012447
college : 0.00759304268931
killer : 0.00671908151765
gringo : 0.00569023186633
burrito : 0.00545867764227
cent : 0.00521435670289
setup : 0.00441360187552
buffalo : 0.00427263547309
guacamole : 0.0042558934234
lousy : 0.00341855362914
tres : 0.00337351865425
freshly : 0.00334528044144
disappoints : 0.00326669571619
Topic: 4
bands : 0.017632007143
band : 0.0122800000401
cheesecake : 0.0110523741832
stage : 0.0101711362683
skewer : 0.00965654428509
mia : 0.00704332167289
nut : 0.00642541259792
meats : 0.00617228752776
mexico : 0.00586331803707
broiled : 0.00512128230313
patron : 0.00486167533332
paired : 0.00462454109665
song : 0.00460188416715
dim : 0.0043888438984
crowds : 0.00415574016034
Topic: 5
bartenders : 0.00596152290422
minutes : 0.0058179596335
service : 0.0047902019231
order : 0.00471350899581
pita : 0.00454045564252
time : 0.00433848205774
asked : 0.00421492755031
said : 0.00411698715403
took : 0.00395145257225
table : 0.00387151767424
sandwich : 0.00371446800071
just : 0.00357541423443
got : 0.00356952728822
came : 0.00351571369407
told : 0.00349917602883
Topic: 6
bar : 0.00881713784971
place : 0.00665193812019
good : 0.00627342807255
great : 0.00601591890729
meat : 0.00541859973735
salad : 0.00531251984506
like : 0.00480026486693
just : 0.00448750621597
really : 0.00398686415149
service : 0.0038748574162
time : 0.00366126945798
nice : 0.00316602988871
ve : 0.0029519385188
little : 0.00290655706497
don : 0.00289423428434
Topic: 7
meats : 0.011060749197
john : 0.0100587653853
karaoke : 0.0093024241209
band : 0.0085471959518
flip : 0.00745273337242
samba : 0.00599470900215
apple : 0.005143745984
mozzarella : 0.00501145193638
omelet : 0.0049297899581
tartare : 0.00488775589303
paradise : 0.00485186735052
brulee : 0.00481113102641
wines : 0.00450508580029
hangout : 0.0037253409214
henderson : 0.00361152091226
Topic: 8
parmesan : 0.00585185908012
cuts : 0.00541577783931
college : 0.00423100109981
vibe : 0.00423064103337
coronas : 0.00414312148175
philly : 0.00398605706718
foie : 0.00389899636309
gras : 0.00375324417699
craft : 0.00373700055095
sports : 0.00370695662833
bought : 0.00369568914829
relaxed : 0.00353807478445
video : 0.00335473096065
tomatoes : 0.00333895185674
muffin : 0.00320353895022
Topic: 9
pita : 0.00879778291515
fries : 0.00691138409028
meat : 0.00671863797991
sandwich : 0.00658332922531
burgers : 0.00529716202264
kabob : 0.00529157252438
chicken : 0.00513095820869
grilled : 0.00500462519689
salad : 0.00461568243772
good : 0.00458373309607
gringos : 0.0044862993038
sauce : 0.0042085998011
lamb : 0.0037623097221
mignon : 0.00358186143216
filet : 0.00348716015177
